Year,DoY,season,daily_NEE,daily_GPP,daily_Reco,MaxT,MinT,Radn,rainfall,TairMean,pdi,mean_SoilC,grazeYN
2022,111,Spring,-3.5301422587999998,-5.8793443612,2.3492282115,9.4,-2.2,19.62,0,7.992013888,0.7,6.500465633,N
2022,112,Spring,-1.7513748724,-4.5615654456,2.8102206226,15,5.6,20.97,0,11.05590278,0.7,7.395874279,N
2022,113,Spring,-3.207122165,-5.8088951710000005,2.6017819139,13.9,1.1,20.67,0,9.4125,0.84,8.493117258,N
2022,114,Spring,-0.8348717954,-3.1853871175,2.3505268692,11.1,1.7,12.59,0,7.632291667,0.84,7.641896825,N
2022,115,Spring,-3.3537755808,-5.77888331,2.4251251633,11.7,5,18.56,0,7.876388889,0.84,7.600640871,N
2022,116,Spring,-1.1487651202,-3.9557235940999997,2.8069316001,12.8,5.6,5.12,2.8,10.42048611,0.84,7.606409963,N
2022,117,Spring,-2.066155517,-4.6771263648,2.6109614744,10.6,2.8,7.68,12.7,8.713541667,0.84,8.571190138,N
2022,118,Spring,-4.6335963168,-6.9343614604,2.3007701467,10,1.7,25.86,4.8,6.542708333,0.84,6.381560271,N
2022,119,Spring,-4.40979876,-6.783873845,2.3740371274,10,2.8,24.41,0,6.525347222,0.84,6.78395615,N
2022,120,Spring,-3.58932384,-6.4926002434,2.9032706607,14.4,5,18.78,0,8.292361111,1.22,6.431359871,N
2022,121,Spring,-3.2969652914,-6.5402602416,3.2433166143,13.9,3.3,25.45,0,9.1875,1.22,7.442660267,N
2022,122,Spring,-4.2123983912,-7.3255118256,3.113064217,12.8,2.2,14.12,0,8.022569444,1.22,8.493356317,N
2022,123,Spring,-4.9746540096,-8.5453115612,3.5707142584,13.9,7.2,19.62,0,9.679513889,1.22,8.725471742,N
2022,124,Spring,0.48283205679999996,-3.0260382538,3.5088743512,9.4,6.7,3.39,8.9,8.742013889,1.22,8.714758808,N
2022,125,Spring,-6.0123623760000005,-10.545567422,4.5331965474,19.4,7.8,24.99,3.8,12.590625,1.22,7.75877915,N
2022,126,Spring,-7.0353044686,-11.7239739548,4.6887380516,15.6,4.4,17.85,0,13.01076389,1.22,10.35671259,N
2022,127,Spring,-5.693886576,-9.3884488174,3.6946937954,10.6,3.9,19.79,0,8.327083333,1.35,10.07246678,N
2022,128,Spring,-5.088727152,-8.686954512,3.5981664355,11.7,1.7,23.39,0,7.591319444,1.35,8.239650983,N
2022,129,Spring,-3.5656408660000003,-7.3704073392,3.8047779277,13.9,-0.6,27.95,0,8.143402778,1.35,8.445086417,N
2022,130,Spring,-3.420558202,-7.783890696,4.3633435519,16.1,3.3,27.19,0,10.10625,1.35,9.5390119,N
2022,131,Spring,-3.1326553010000002,-8.884403722,5.7517900932,17.8,2.8,26.94,0,11.99236111,1.35,10.53343353,N
2022,132,Spring,-2.2528331710000002,-10.31749812,8.064686364,21.7,8.3,25.47,0,15.66319444,1.35,11.25575155,N
2022,133,Spring,-2.4442868446,-13.699064502699999,11.2548481976,21.1,9.4,25.5,0,20.25236111,1.35,13.52900467,N
2022,134,Spring,0.28528277720000006,-13.9531478688,14.2384753,28.9,14.4,23.57,0,24.175,0.57,15.06841176,N
2022,135,Spring,3.4058040188,-9.2297499883,12.6356672652,20.6,10.6,12.92,0,18.97847222,0.57,17.94137726,N
2022,136,Spring,-1.120303872,-12.540359476799999,11.4200376192,17.2,10.6,12.32,0,15.20465278,0.57,13.84911245,N
2022,137,Spring,-1.0564485264,-14.0694301868,13.0129394811,22.2,12.2,24.8,0,16.48888889,0.57,13.72928899,N
2022,138,Spring,-3.6701666352,-14.9608202688,11.2906268027,20,8.3,27.88,0,13.57291667,0.57,14.42814281,N
2022,139,Spring,10.4249737148,1.4439779281999998,8.9809934151,13.3,6.7,3.79,0,10.66979167,0.57,12.96600368,Y
2022,140,Spring,1.159831224,-7.8771649824,9.0369381236,13.3,8.9,11.69,0,12.08993056,0.57,11.20736846,Y
2022,141,Spring,2.184739128,-8.314764825,10.4994787554,18.3,10,20.24,0,16.728125,0.05,11.70550182,Y
2022,142,Spring,1.8025545600000001,-9.8134092,11.6158624854,23.9,11.1,21.94,0,21.16472222,0.05,14.0610176,N
2022,143,Spring,-5.873014900799999,-14.734721016,8.8616707888,20.6,11.7,26.78,0,17.01180556,0.05,16.62436955,N
2022,144,Spring,-1.504725984,-7.7064693412,6.2017361132,16.1,6.7,27.97,0,12.11527778,0.05,15.06164067,N
2022,145,Spring,1.1381771639,-4.565791152,5.7039433271,17.2,5.6,26.72,0,13.16215278,0.05,12.7404063,N
2022,146,Spring,-0.06262790420000003,-6.4211832432,6.3584510789,17.2,10,23.57,0,16.00034722,0.05,13.2987025,N
2022,147,Spring,1.2539643693999998,-6.9159305434,8.1698805433,23.9,13.3,16.4,0,21.78263889,0.05,14.04175847,N
2022,148,Spring,0.08169543320000004,-7.388790192,7.4705301356,24.4,13.3,12.47,1.016,19.021875,-0.42,16.91224823,N
2022,149,Spring,0.13477752,-6.9190190932,7.053835384,24.4,10.6,28.2,0,17.40625,-0.42,16.21715698,N
2022,150,Spring,-3.411586253,-12.53460096,9.1230108231,27.8,11.7,26.35,0,20.87673611,-0.42,17.22768173,N
2022,151,Spring,-1.4142148992,-9.8019516528,8.3877177294,22.2,10,15.56,0,15.18229167,-0.42,19.53144734,N
2022,152,Spring,-4.5065077834,-12.4874181362,7.980990224,15,10,5.73,0,11.36944445,-0.42,15.0958229,N
2022,153,Spring,-3.1267420414,-12.9354560924,9.8087106606,17.8,10.6,8.83,1.778,12.97673611,-0.42,14.01521835,N
2022,154,Spring,0.6973827840000001,-9.1206649554,9.8180496054,12.8,10,5.04,3.048,12.49756944,-0.42,13.5170812,N
2022,155,Spring,-4.361176598,-14.8053807506,10.4441688802,15.6,11.1,21.2,0.508,13.90659722,-0.71,12.66802368,N
2022,156,Spring,-6.512392224,-17.244872914,10.732518648,21.7,9.4,26.14,0.254,14.71840278,-0.71,13.62522024,N
2022,157,Spring,-3.7749280179999998,-15.140620828,11.3658278961,24.4,7.2,26.72,0,16.28194444,-0.71,14.25404765,N
2022,158,Spring,-7.451081006,-20.1349507634,12.6839947312,22.8,11.7,24.28,0,19.33958333,-0.71,15.84800365,N
